Batch,Sample_Rep,Class,Class2,Type,batch_qc,run_order,sample_ID
7,18,S,S7,Sample,7,132,132
7,2,C,C1,Sample,7,133,133
7,11,C,C10,Sample,7,134,134
7,1,QC,QC31,QC,QC,135,135
7,4,C,C3,Sample,7,136,136
7,16,S,S5,Sample,7,137,137
7,8,C,C7,Sample,7,138,138
7,17,S,S6,Sample,7,139,139
7,1,QC,QC32,QC,QC,140,140
7,9,C,C8,Sample,7,141,141
7,13,S,S2,Sample,7,142,142
7,20,S,S9,Sample,7,143,143
7,3,C,C2,Sample,7,144,144
7,1,QC,QC33,QC,QC,145,145
7,15,S,S4,Sample,7,146,146
7,19,S,S8,Sample,7,147,147
7,21,S,S10,Sample,7,148,148
7,10,C,C9,Sample,7,149,149
7,1,QC,QC34,QC,QC,150,150
8,6,C,C5,Sample,8,151,151
8,14,S,S3,Sample,8,152,152
8,18,S,S7,Sample,8,153,153
8,2,C,C1,Sample,8,154,154
8,11,C,C10,Sample,8,155,155
8,1,QC,QC36,QC,QC,156,156
8,12,S,S1,Sample,8,157,157
8,4,C,C3,Sample,8,158,158
8,16,S,S5,Sample,8,159,159
8,8,C,C7,Sample,8,160,160
8,17,S,S6,Sample,8,161,161
8,1,QC,QC37,QC,QC,162,162
8,9,C,C8,Sample,8,163,163
8,13,S,S2,Sample,8,164,164
8,20,S,S9,Sample,8,165,165
8,1,QC,QC38,QC,QC,166,166
8,15,S,S4,Sample,8,167,167
8,19,S,S8,Sample,8,168,168
8,5,C,C4,Sample,8,169,169
8,21,S,S10,Sample,8,170,170
8,10,C,C9,Sample,8,171,171
8,1,QC,QC39,QC,QC,172,172
